ref,url,nome,imagem,categoria,valor_riscado,valor_boleto,desconto,n_parcelas,valor_parcela
116920,https://www.graodegente.com.br/abajur-1/pisca-pisca-cascata-lilas-3-4m-com-200-lampadas,"Pisca Pisca Cascata Lilás 3,4m com 200 Lâmpadas",https://dmhxz00kguanp.cloudfront.net/fotos/116920/media_cortina-de-led-lilas-3-4m-com-200-lampadas-272368.jpg,Abajur e Luminária ,49.64,41.99,0.15,10,508.0
116918,https://www.graodegente.com.br/abajur-1/pisca-pisca-cascata-rosa-3-4m-com-200-lampadas-led,"Pisca Pisca Cascata Rosa 3,4m com 200 Lâmpadas LED",https://dmhxz00kguanp.cloudfront.net/fotos/116918/media_cortina-de-led-rosa-3-4m-com-200-lampadas-led-272364.jpg,Abajur e Luminária ,49.64,41.99,0.15,10,508.0
156508,https://www.graodegente.com.br/abajur-1/abajur-safari-aquarela-branco-colorido,Abajur Safári Aquarela ,https://dmhxz00kguanp.cloudfront.net/fotos/156508/media_abajur-01-safari-aquarela-351517.jpg,Abajur e Luminária ,49.64,74.99,0.19,12,770.0
76682,https://www.graodegente.com.br/abajur-1/abajur-simples-rosa,Abajur Simples Rosa,https://dmhxz00kguanp.cloudfront.net/fotos/76682/media_abajur-pequena-bailarina-290738.jpg,Abajur e Luminária ,49.64,88.99,0.08,12,913.0
141849,https://www.graodegente.com.br/abajur-1/abajur-simples-tricot-colmeia-verde-malva,Abajur Simples Tricot Colmeia Verde Malva,https://dmhxz00kguanp.cloudfront.net/fotos/141849/media_abajur-tricot-colmeia-verde-malva-301435.jpg,Abajur e Luminária ,49.64,86.99,0.15,12,893.0
79263,https://www.graodegente.com.br/abajur-1/abajur-simples-princesa-classica-rosa,Abajur Simples Princesa Clássica Rosa,https://dmhxz00kguanp.cloudfront.net/fotos/79263/media_abajur-ursinha-classica-rosa-176159.jpg,Abajur e Luminária ,49.64,88.99,0.08,12,913.0
99932,https://www.graodegente.com.br/abajur-1/abajur-madeira-pelucia-flower-com-laco-rosa,Abajur Madeira Pelúcia Flower com Laço Rosa,https://dmhxz00kguanp.cloudfront.net/fotos/99932/media_abajur-torneado-pelucia-flower-com-laco-rosa-232169.jpg,Abajur e Luminária ,49.64,215.99,0.17,12,2217.0
83063,https://www.graodegente.com.br/abajur-1/abajur-simples-babado-e-laco-rosa,Abajur Simples Babado e Laço Rosa,https://dmhxz00kguanp.cloudfront.net/fotos/83063/media_abajur-ursinha-bebe-186514.jpg,Abajur e Luminária ,49.64,86.99,0.15,12,893.0
99738,https://www.graodegente.com.br/abajur-1/abajur-mdf-chuva-de-amor-rosa,Abajur MDF Chuva de Amor Rosa,https://dmhxz00kguanp.cloudfront.net/fotos/99738/media_abajur-mdf-chuva-de-amor-240978.jpg,Abajur e Luminária ,49.64,115.99,0.05,12,1190.0
150958,https://www.graodegente.com.br/abajur-1/abajur-coracoes-rosa-cinza,Abajur Corações Rosa,https://dmhxz00kguanp.cloudfront.net/fotos/150958/media_abajur-coracoes-amor-da-mamae-354060.jpg,Abajur e Luminária ,49.64,74.99,0.19,12,770.0
77332,https://www.graodegente.com.br/abajur-1/abajur-simples-listras-verde-e-bege,Abajur Simples Listras Verde,https://dmhxz00kguanp.cloudfront.net/fotos/77332/media_abajur-listras-verde-e-bege-320715.jpg,Abajur e Luminária ,49.64,74.99,0.19,12,770.0
115458,https://www.graodegente.com.br/abajur-1/luminaria-de-parede-planeta-branco,Luminária de Parede Planeta,https://dmhxz00kguanp.cloudfront.net/fotos/115458/media_luminaria-de-parede-planeta-247787.jpg,Abajur e Luminária ,49.64,144.99,0.28,12,1488.0
100043,https://www.graodegente.com.br/abajur-1/luminaria-de-parede-nuvem-coracao-branco,Luminária de Parede Nuvem Coração 30cm,https://dmhxz00kguanp.cloudfront.net/fotos/100043/media_luminaria-de-parede-nuvem-coracao-30cm-228602.jpg,Abajur e Luminária ,49.64,144.99,0.28,12,1488.0
97039,https://www.graodegente.com.br/abajur-1/abajur-mdf-girafa-amiguinhos-safari-amarelo-laranja,Abajur MDF Girafa Amiguinhos Safári,https://dmhxz00kguanp.cloudfront.net/fotos/97039/media_abajur-mdf-girafa-amiguinhos-safari-224386.jpg,Abajur e Luminária ,49.64,115.99,0.05,12,1190.0
